member_id,loyalty_years,vehicles_covered,premium_plan_ind,mobile_app_user,home_auto_bundle,auto_pay_ind,recent_rate_increase,churn
11718698,1,1,0,0,1,0,0,0
24449305,18,3,0,0,0,0,0,0
92334825,13,3,0,1,1,0,0,0
99286533,4,1,1,1,1,0,0,1
63192693,3,1,0,1,0,0,1,0
13252492,5,2,0,1,0,0,0,0
60108914,18,3,0,0,0,0,0,0
64755437,10,1,0,1,0,0,0,0
92095594,2,2,0,0,0,0,0,0
33580274,3,4,0,0,0,0,1,0
19020910,4,2,0,1,0,0,0,0
74924041,6,2,0,0,1,0,0,0
51394187,3,2,0,0,0,0,0,0
20170904,3,1,0,0,0,0,0,0
67507210,2,2,0,1,0,0,0,1
72892453,4,3,1,1,1,0,0,0
23337093,0,2,0,0,1,0,0,1
67005767,16,1,0,0,1,1,0,1
48696532,0,2,0,0,1,1,0,0
72245113,18,2,0,1,0,0,0,1
13344055,4,1,0,0,0,1,1,0
69127419,12,2,0,1,0,0,0,0
31231040,0,2,0,1,1,1,0,0
71456659,12,3,1,1,0,0,0,0
62750185,16,2,0,0,0,1,1,0
81248253,18,2,0,0,0,0,1,0
72953926,4,2,0,0,0,0,0,0
99993274,16,2,0,1,0,0,0,0
91972445,1,2,0,1,0,0,0,0
10859504,17,3,0,0,1,0,0,0
39451000,4,1,0,1,0,0,0,0
77485129,16,3,1,1,0,0,0,0
72295984,1,2,1,1,0,0,0,0
36009188,8,4,0,1,0,1,1,0
10616565,10,1,0,0,0,0,0,0
63232917,7,2,0,1,0,1,0,0
93831055,16,2,0,0,1,0,0,0
52899253,3,2,0,1,0,0,0,1
12512313,18,2,0,1,0,0,0,0
51775543,3,1,0,1,0,0,0,0
93179889,13,1,0,0,1,0,0,1
21462613,9,2,0,0,0,1,0,0
82765450,19,1,1,1,0,0,0,0
86943226,9,2,0,0,0,0,0,0
62311560,6,3,0,0,1,1,1,0
25910992,8,2,0,1,0,0,0,0
53601696,9,1,0,0,0,0,0,0
63691076,6,2,0,0,0,1,0,0
83717261,13,2,0,1,0,0,0,0
44858106,9,2,0,0,0,0,0,0
50233492,4,2,0,0,1,0,1,0
39696053,11,1,0,0,0,0,0,1
29472079,5,1,1,1,1,0,1,0
20669787,17,3,0,1,0,1,0,0
42395234,5,1,0,0,0,0,0,1
12448494,11,2,0,0,0,0,0,0
91514413,16,2,0,1,0,0,0,0
24739012,4,2,1,0,1,0,0,1
83630625,14,1,0,0,0,0,0,0
11116182,11,1,0,0,0,0,0,1
15844426,2,2,0,0,0,1,0,1
75793860,9,1,0,0,0,0,0,1
24830952,14,3,0,0,0,0,0,0
25074503,3,1,0,0,0,0,0,0
86620610,19,2,0,0,0,0,0,0
73275478,15,2,0,1,0,1,0,0
92273773,1,2,0,0,1,0,0,1
67905452,19,2,0,1,0,0,0,0
12299603,7,2,0,0,0,0,0,0
49088592,9,3,0,0,0,0,0,0
85977038,11,2,0,1,0,1,0,0
28324694,19,2,0,1,0,0,0,0
56779493,10,3,1,0,0,1,0,1
15970336,8,3,0,0,1,0,1,0
25196612,10,2,0,0,0,0,0,0
22565534,15,2,0,0,0,0,0,0
44523691,17,4,0,1,1,0,1,0
50399454,6,2,0,1,0,0,0,0
11538697,9,2,0,0,1,0,0,1
52701730,12,2,0,0,0,0,0,0
32421044,8,2,0,0,0,0,0,1
83567764,18,3,0,1,1,0,0,0
51942099,3,3,0,0,1,0,0,0
99393960,6,2,0,1,1,0,0,0
21764121,2,3,0,1,0,0,0,0
26205621,5,1,1,1,0,0,1,1
51429885,10,1,0,1,0,1,0,0
80420138,4,2,1,1,0,0,0,0
16189271,14,2,0,0,0,0,0,0
36605699,9,3,0,1,0,1,0,0
90196841,12,2,1,0,1,0,0,0
12894481,6,2,0,0,1,0,0,0
15035072,10,3,0,0,0,0,0,1
37898810,16,2,0,1,0,0,1,0
77944560,3,2,0,0,0,0,0,0
42491127,13,1,0,0,0,1,0,0
62754134,15,3,0,0,0,0,0,0
89409942,8,4,1,0,0,0,0,0
91665559,16,1,0,0,0,0,0,0
